support,itemsets
0.09770742358078603,"frozenset({'sugar', 'salt', 'all - purpose flour'})"
0.09324963609898108,"frozenset({'sugar', 'all - purpose flour', 'butter'})"
0.0830604075691412,"frozenset({'salt', 'all - purpose flour', 'butter'})"
0.08215065502183407,"frozenset({'sugar', 'salt', 'butter'})"
0.06877729257641921,"frozenset({'vanilla extract', 'sugar', 'butter'})"
0.06850436681222707,"frozenset({'sugar', 'eggs', 'all - purpose flour'})"
0.06568413391557497,"frozenset({'sugar', 'salt', 'eggs'})"
0.06459243085880641,"frozenset({'sugar', 'eggs', 'butter'})"
0.06377365356622998,"frozenset({'sugar', 'vanilla extract', 'all - purpose flour'})"
0.06322780203784571,"frozenset({'salt', 'onion', 'pepper'})"
0.06277292576419213,"frozenset({'sugar', 'salt', 'vanilla extract'})"
0.060589519650655024,"frozenset({'sugar', 'baking powder', 'all - purpose flour'})"
0.06049854439592431,"frozenset({'salt', 'eggs', 'all - purpose flour'})"
0.05813318777292576,"frozenset({'vanilla extract', 'eggs', 'sugar'})"
0.054494177583697234,"frozenset({'salt', 'baking powder', 'all - purpose flour'})"
0.05431222707423581,"frozenset({'garlic', 'salt', 'pepper'})"
0.05349344978165939,"frozenset({'eggs', 'all - purpose flour', 'butter'})"
0.0522197962154294,"frozenset({'sugar', 'salt', 'baking powder'})"
0.05131004366812227,"frozenset({'garlic', 'onion', 'pepper'})"
0.050036390101892286,"frozenset({'vanilla extract', 'salt', 'all - purpose flour'})"
