support,itemsets
0.011098981077147015,"frozenset({'sugar', 'salt', 'active dry yeast'})"
0.011735807860262008,"frozenset({'water', 'salt', 'active dry yeast'})"
0.011917758369723435,"frozenset({'sugar', 'water', 'active dry yeast'})"
0.027019650655021835,"frozenset({'baking soda', 'baking powder', 'all - purpose flour'})"
0.042121542940320236,"frozenset({'baking powder', 'all - purpose flour', 'butter'})"
0.02274381368267831,"frozenset({'cinnamon', 'baking powder', 'all - purpose flour'})"
0.02274381368267831,"frozenset({'egg', 'baking powder', 'all - purpose flour'})"
0.03793668122270742,"frozenset({'baking powder', 'all - purpose flour', 'eggs'})"
0.027383551673944687,"frozenset({'baking powder', 'all - purpose flour', 'milk'})"
0.054494177583697234,"frozenset({'salt', 'baking powder', 'all - purpose flour'})"
0.060589519650655024,"frozenset({'sugar', 'baking powder', 'all - purpose flour'})"
0.034934497816593885,"frozenset({'vanilla extract', 'baking powder', 'all - purpose flour'})"
0.016466521106259097,"frozenset({'vegetable oil', 'baking powder', 'all - purpose flour'})"
0.03147743813682678,"frozenset({'baking soda', 'all - purpose flour', 'butter'})"
0.02383551673944687,"frozenset({'cinnamon', 'baking soda', 'all - purpose flour'})"
0.014647016011644833,"frozenset({'baking soda', 'egg', 'all - purpose flour'})"
0.03238719068413391,"frozenset({'baking soda', 'all - purpose flour', 'eggs'})"
0.011098981077147015,"frozenset({'baking soda', 'all - purpose flour', 'milk'})"
0.04239446870451237,"frozenset({'baking soda', 'salt', 'all - purpose flour'})"
0.04994541484716157,"frozenset({'sugar', 'baking soda', 'all - purpose flour'})"
0.031204512372634642,"frozenset({'vanilla extract', 'baking soda', 'all - purpose flour'})"
0.014647016011644833,"frozenset({'baking soda', 'vegetable oil', 'all - purpose flour'})"
0.011098981077147015,"frozenset({'baking soda', 'walnuts', 'all - purpose flour'})"
0.03147743813682678,"frozenset({'cinnamon', 'all - purpose flour', 'butter'})"
0.014737991266375546,"frozenset({""confectioner s ' sugar"", 'all - purpose flour', 'butter'})"
0.011098981077147015,"frozenset({'cream cheese', 'all - purpose flour', 'butter'})"
0.033751819505094614,"frozenset({'egg', 'all - purpose flour', 'butter'})"
0.05349344978165939,"frozenset({'eggs', 'all - purpose flour', 'butter'})"
0.011371906841339156,"frozenset({'garlic', 'all - purpose flour', 'butter'})"
0.012008733624454149,"frozenset({'lemon juice', 'all - purpose flour', 'butter'})"
0.04939956331877729,"frozenset({'milk', 'all - purpose flour', 'butter'})"
0.013919213973799126,"frozenset({'nutmeg', 'all - purpose flour', 'butter'})"
0.01792212518195051,"frozenset({'onion', 'all - purpose flour', 'butter'})"
0.017740174672489083,"frozenset({'pepper', 'all - purpose flour', 'butter'})"
0.0830604075691412,"frozenset({'salt', 'all - purpose flour', 'butter'})"
0.012463609898107715,"frozenset({'salt pepper', 'all - purpose flour', 'butter'})"
0.010553129548762736,"frozenset({'sour cream', 'all - purpose flour', 'butter'})"
0.09324963609898108,"frozenset({'sugar', 'all - purpose flour', 'butter'})"
0.04958151382823872,"frozenset({'vanilla extract', 'all - purpose flour', 'butter'})"
0.010007278020378457,"frozenset({'walnuts', 'all - purpose flour', 'butter'})"
0.027838427947598252,"frozenset({'water', 'all - purpose flour', 'butter'})"
