support,itemsets
0.16648471615720525,"frozenset({'sugar', 'salt'})"
0.15056404657933042,"frozenset({'sugar', 'butter'})"
0.13691775836972345,"frozenset({'salt', 'all - purpose flour'})"
0.13646288209606988,"frozenset({'sugar', 'all - purpose flour'})"
0.13336972343522563,"frozenset({'salt', 'butter'})"
0.1332787481804949,"frozenset({'salt', 'pepper'})"
0.1324599708879185,"frozenset({'all - purpose flour', 'butter'})"
0.11817685589519651,"frozenset({'garlic', 'onion'})"
0.1037117903930131,"frozenset({'sugar', 'vanilla extract'})"
0.10289301310043668,"frozenset({'sugar', 'eggs'})"
0.10262008733624454,"frozenset({'garlic', 'olive oil'})"
0.09798034934497817,"frozenset({'onion', 'pepper'})"
0.09697962154294032,"frozenset({'sugar', 'water'})"
0.0968886462882096,"frozenset({'salt', 'onion'})"
0.09443231441048035,"frozenset({'garlic', 'pepper'})"
0.0934315866084425,"frozenset({'water', 'salt'})"
0.09143013100436681,"frozenset({'salt', 'eggs'})"
0.08988355167394468,"frozenset({'garlic', 'salt'})"
0.0851528384279476,"frozenset({'eggs', 'butter'})"
0.08406113537117904,"frozenset({'eggs', 'all - purpose flour'})"
